ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Area Path;Assigned To;State
"125441";"Test Case";"Új tanrend létrehozása - SZK-006";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Lengyel Zoltán (Multicontact) <RCINET\LengyelZ>";"Design"
;;;"1";"Tesztelési előfeltételek:
- megfelelő jogosultsággal rendelkező (tanrend szerkesztése) képző szervi ügyintéző.
- érvényes oktatási helyszín megléte (OKTH-001)
- képző szervhez rendelt szakoktató megléte
";"
";;;
"115088";"Shared Steps";;"2";"Login (képző szerv)";;;;
;;;"2_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
Vizsgabiztos";;;
;;;"2_2";"Képző szervek (Autósiskolák) bejelentkező oldal megnyitása (Képző szervek (Autósiskolák) gomb megnyomása)";"Megnyílik a beleptetes/Kepzoszervek oldal, amelyen az alábbi lehetőségek közül van lehetőség választani:
- Kategóriás
- Légügy
- Szaktanfolyami
- Utánképzés
- Vasút";;;
;;;"2_3";"""Kategóriás"" gomb megnyomása";"Megnyílik az ""Iskolai bejelentkezés"" oldal, felhasználónév és jelszó megadható.";;;
;;;"2_4";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/Kategorias címre (környezetfüggő URL).
A képző szerv regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe képző szervként.";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.";;;
;;;"2_5";"Hitelesítő kód megadása és belépés a rendszerbe";"Megnyílik a https://tesztkvar.pallasz.hu/iskola (Iskola) oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (képző szerv) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.";;;
;;;"3";"A bejelentkezést követően ki kell választani a Tanrend/Új tanrend menüpontját.
";"A rendszer betölti az új tanrend űrlapot, amelyen az alábbi mezők tölthetők ki. 
Azonosító*
Tanfolyam típus*
Tantárgy típus*
Oktatás helyszíne*
Tervezett létszám
Vizsga tervezett dátuma

Az azonosító mező kitölthető, kattintsára (fókusz) beviteli maszkot jelenít meg: ##/#### formátumban. 
A tanfolyam típus mezőt nyitva. Az rendszerben rögzített alap paramétereknek megfelelő képzési típusok jelennek meg. 

A tanfolyam típus esetében a lenyíló listában a vezető ügyintéző által a képzőhöz rögzített képezhető képzések listája jelenik meg. 
A tantárgy típusnál a vezető ügyintéző által a képzőhöz rögzített engedélyben meghatározott tantárgy típusok választhatók ki, figyelembe véve az adott kategóriájára jellemző részszabályokat. 

Az oktatás helyszíne választó listában azok az értékek jelennek meg, amelyet az képző intézményhez rendelt ügyintéző, a beállítások/helyszínek menüpont alatt felrögzített.

A tervezett létszám mező kitölthető, a mező csak számértéket fogad el 1 és 255 közötti értékkel. A mező üresen is hagyható. 

A vizsga tervezett dátuma mező naptár funkciója működik, a dátumok tallózhatók és kiválaszthatók. A mezőbe dátumot a megfelelő formátumban be lehet gépelni. 

Az ablak alsó részén a tantárgyak blokk jelenik meg. A tantárgyak blokk alapértelmezetten üres. 
A tanulók fül (tab) nem aktív, nem válaszható ki. 
";;;
;;;"4";"Új tantárgy hozzáadása gombra kattintással a megfelelő tantárgy kiválasztása és rögzítése.
";"Megjelenik a tantárgyak rögzítési űrlap. Kötelező mezőként a tantárgy az oktató neve, az időpontok, illetve a helyszín információt kell rögzíteni. 

A tantárgy lenyíló listában a tanfolyam típusnak megfelelő, az alapkészletben rögzített tantárgy típusok kerülnek listázásra. Ezekből csak egy választható ki. 

A tantárgy kiválasztását követően a szakoktató neve lista feltöltődik azokkal a szakoktatókkal, akik a kiválasztott kategóriás képzéshez rendelt szakoktatói engedéllyel rendelkeznek, és a képző szervi ügyintéző a Beállítások/Szakoktatók menüpont alatt az adott képzőhöz rendelt. 

Az időpont beállításánál a nap mező naptár funkciója kattintható, a naptár megjelenik, az adott dátum kiválasztható, illetve a megfelelő formátumban a szövegesen bevihető. A kezdete vége mezők esetében 5 perces bontásban kiválasztható az időpont, illetve a megfelelő formátumban a szövegesen bevihető. Az óraszám mezőbe szám formátum rögzíthető az adott napi óraszám, egyéb karakter nem gépelhető a mezőbe. Az oktatás helyszíne lenyíló listában a képződött rendelt. Tantárgy típusnak megfelelő oktatási helyszínek jelennek meg. 

";;;
;;;"5";"Pótfoglalkozás hozzáadása gombra kattintással az adott tantárgyhoz kapcsolódó pótfoglalkozás adatai megadhatók.
";"A pótfoglalkozások időpont és helszínrögzítő űrlap betöltődik az adott tantárgy blokkjába. Az időpont beállításánál a nap mező naptár funkciója kattintható, a naptár megjelenik, az adott dátum kiválasztható, illetve a megfelelő formátumban a szövegesen bevihető. A kezdete vége mezők esetében 5 perces bontásban kiválasztható az időpont, illetve a megfelelő formátumban a szövegesen bevihető. Az óraszám mezőbe szám formátum rögzíthető az adott napi óraszám, egyéb karakter nem gépelhető a mezőbe. Az oktatás helyszíne lenyíló listában a képződött rendelt. Tantárgy típusnak megfelelő oktatási helyszínek jelennek meg. 

";;;
;;;"6";"Pótfoglalkozás Időpontjának törlése az adott tantárgy vonatkozásában, a pótfoglalkozások időpont és helyszín rögzítésére szolgáló űrlap jobb oldalán található X (piros) gombra kattintva.
";"Kattintásra a pótfoglalkozásokhoz tartozó időpont és helyszín rögzítési űrlap eltűnik. 
";;;
;;;"7";"Új tantárgy hozzáadása gombra kattintva egy másik tantárgy rögzítése. (megfelelő adatokkal történő kitöltése)
";"Az előzőleg rögzített tantárgy adatok, időpontok és helyszínek kitöltötten megmaradnak és megjelenik egy új tantárgy rögzítése űrlap blokk tantárgy nevével, oktató nevével, időpontokkal, hasonlóan az előző lépésekben bemutatott formában. A követelmények megegyeznek az előző lépésben rögzítettekkel.  
";;;
